Date,Open,High,Low,Close,Adj Close,Volume
"Aug 06, 2025",273.50,275.05,269.91,272.28,270.90,"3,576,800"
"Aug 05, 2025",276.26,277.00,268.62,272.12,270.75,"4,000,600"
"Aug 04, 2025",270.51,276.85,270.22,276.23,274.83,"3,744,000"
"Aug 01, 2025",265.53,270.55,261.71,269.38,268.02,"4,416,300"
"Jul 31, 2025",273.07,274.94,269.88,271.08,269.71,"4,524,000"
"Jul 30, 2025",270.92,273.63,269.51,273.55,272.17,"4,697,000"
"Jul 29, 2025",272.73,273.80,269.12,270.31,268.94,"4,125,300"
"Jul 28, 2025",273.36,273.44,267.44,270.61,269.24,"5,006,400"
"Jul 25, 2025",268.83,272.83,268.26,271.59,270.22,"4,598,400"
"Jul 24, 2025",263.56,269.84,263.18,268.01,266.66,"5,206,700"
"Jul 23, 2025",260.53,263.73,259.95,263.18,261.85,"4,689,800"
"Jul 22, 2025",260.73,261.50,254.66,259.00,257.69,"4,751,300"
"Jul 21, 2025",263.69,266.25,259.58,262.86,261.53,"5,208,500"
"Jul 18, 2025",265.40,269.70,262.56,263.27,261.94,"8,619,800"
"Jul 17, 2025",269.80,272.80,258.16,260.28,258.96,"16,260,200"
"Jul 16, 2025",264.00,266.86,262.03,266.18,264.84,"11,912,900"
"Jul 15, 2025",263.92,265.06,261.74,264.67,263.33,"9,392,400"
"Jul 14, 2025",256.19,262.46,256.00,262.34,261.01,"7,502,200"
"Jul 11, 2025",251.50,256.88,251.40,255.42,254.13,"7,867,200"
"Jul 10, 2025",250.61,252.68,246.75,252.57,251.29,"5,462,500"
"Jul 09, 2025",248.99,251.72,246.82,250.33,249.07,"5,589,500"
"Jul 08, 2025",248.00,249.46,243.34,247.05,245.80,"5,994,500"
"Jul 07, 2025",247.52,249.44,246.48,248.65,247.39,"5,336,400"
"Jul 03, 2025",245.55,248.70,245.00,246.88,245.27,"3,089,500"
"Jul 02, 2025",248.00,249.13,243.66,244.75,243.16,"6,228,600"
"Jul 01, 2025",255.75,255.75,247.11,249.02,247.40,"7,178,300"
"Jun 30, 2025",256.31,257.89,253.87,257.39,255.72,"8,135,800"
"Jun 27, 2025",251.85,260.55,251.78,254.51,252.85,"26,988,000"
"Jun 26, 2025",251.18,255.48,250.00,251.00,249.37,"6,790,300"
"Jun 25, 2025",250.08,250.99,248.48,249.90,248.27,"5,197,400"
"Jun 24, 2025",248.38,249.39,245.57,248.75,247.13,"5,255,700"
"Jun 23, 2025",239.24,248.46,238.62,247.81,246.20,"8,052,000"
"Jun 20, 2025",239.72,240.80,236.51,239.37,237.81,"9,142,100"
"Jun 18, 2025",235.96,239.52,232.24,235.89,234.36,"7,761,100"
"Jun 17, 2025",236.73,238.97,234.88,235.75,234.22,"5,720,500"
"Jun 16, 2025",237.60,239.94,236.07,236.54,235.00,"4,505,600"
"Jun 13, 2025",235.00,238.00,233.70,236.60,235.06,"7,420,300"
"Jun 12, 2025",240.00,243.43,238.68,239.99,238.43,"8,946,600"
"Jun 11, 2025",242.64,246.96,238.51,245.52,243.92,"6,940,800"
"Jun 10, 2025",250.78,251.25,239.75,242.00,240.43,"11,230,900"
"Jun 09, 2025",254.02,255.32,251.14,251.41,249.77,"5,771,600"
"Jun 06, 2025",253.00,257.47,252.07,255.63,253.97,"5,796,700"
"Jun 05, 2025",252.48,253.01,250.11,251.92,250.28,"4,188,200"
"Jun 04, 2025",249.98,253.06,249.72,250.88,249.25,"5,811,500"
"Jun 03, 2025",247.50,250.50,244.18,248.87,247.25,"6,456,200"
"Jun 02, 2025",245.85,248.10,244.51,247.48,245.87,"5,450,800"
"May 30, 2025",243.39,246.86,242.30,245.91,244.31,"9,143,000"
"May 29, 2025",244.53,244.94,241.49,244.16,242.57,"5,243,700"
"May 28, 2025",241.78,246.00,241.60,243.67,242.09,"9,570,500"
"May 27, 2025",235.42,242.28,235.10,241.78,240.21,"7,162,400"
"May 23, 2025",228.84,233.69,228.01,232.79,231.28,"4,234,200"
"May 22, 2025",231.19,232.45,229.42,230.27,228.77,"6,909,400"
"May 21, 2025",234.86,237.30,232.66,233.54,232.02,"4,631,000"
"May 20, 2025",234.16,236.08,233.80,235.26,233.73,"4,311,000"
"May 19, 2025",229.50,235.87,228.92,235.29,233.76,"4,734,400"
"May 16, 2025",229.07,232.32,227.59,231.78,230.27,"4,651,700"
"May 15, 2025",223.45,230.09,223.45,229.38,227.89,"7,207,700"
"May 14, 2025",222.94,223.35,220.45,223.24,221.79,"4,764,700"
"May 13, 2025",220.00,223.55,219.30,221.58,220.14,"7,188,700"
"May 12, 2025",219.34,219.98,211.15,218.95,217.53,"5,468,000"
"May 09, 2025",215.21,216.12,212.73,214.96,213.56,"3,778,200"
"May 08, 2025",211.00,216.80,210.51,214.49,213.10,"5,870,300"
"May 07, 2025",208.90,210.63,208.22,209.92,208.55,"3,968,300"
"May 06, 2025",206.02,209.83,205.92,208.60,207.24,"3,169,600"
"May 05, 2025",206.31,210.52,205.65,208.94,207.58,"4,466,500"
"May 02, 2025",206.32,208.72,205.56,207.70,206.35,"3,831,700"
"May 01, 2025",202.25,205.24,200.86,203.61,202.29,"4,687,600"
"Apr 30, 2025",198.60,202.03,196.86,201.54,200.23,"4,436,300"
"Apr 29, 2025",200.49,202.43,199.65,200.50,199.20,"3,444,200"
"Apr 28, 2025",199.50,201.48,198.60,200.86,199.55,"3,416,900"
"Apr 25, 2025",198.70,199.99,197.26,198.43,197.14,"4,390,600"
"Apr 24, 2025",194.33,197.70,194.05,197.41,196.13,"5,906,300"
"Apr 23, 2025",195.94,197.03,192.57,193.68,192.42,"7,235,700"
"Apr 22, 2025",186.50,190.00,182.10,189.18,187.95,"13,041,000"
"Apr 21, 2025",179.29,180.79,176.02,178.35,177.19,"8,501,600"
"Apr 17, 2025",183.39,184.24,181.59,181.79,180.61,"4,932,000"
"Apr 16, 2025",184.07,185.88,181.28,182.45,181.26,"5,128,000"
"Apr 15, 2025",183.88,188.44,182.29,185.67,184.46,"4,999,300"
"Apr 14, 2025",185.35,187.61,183.83,186.00,184.79,"5,319,100"
"Apr 11, 2025",179.01,184.25,175.05,181.67,180.49,"6,491,100"
